,sectors,crash_month,crash_year,number_of_motorist_injured,number_of_cyclist_injured,number_of_pedestrians_injured,number_of_persons_injured,number_of_motorist_killed,number_of_cyclist_killed,number_of_pedestrians_killed,number_of_persons_killed,collision_count
0,1,1,2023,1.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,12.0
1,1,1,2024,2.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,11.0
2,1,1,2025,1.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,11.0
3,1,2,2023,2.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,6.0
4,1,2,2024,9.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,10.0
5,1,2,2025,1.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,7.0
6,1,3,2023,0.0,1.0,2.0,6.0,0.0,0.0,0.0,0.0,13.0
7,1,3,2024,7.0,3.0,2.0,12.0,0.0,0.0,0.0,0.0,17.0
8,1,3,2025,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0
9,1,4,2023,1.0,3.0,2.0,8.0,0.0,0.0,0.0,0.0,16.0
10,1,4,2024,2.0,4.0,2.0,8.0,0.0,0.0,0.0,0.0,13.0
11,1,4,2025,2.0,2.0,2.0,6.0,0.0,0.0,0.0,0.0,18.0
12,1,5,2023,8.0,5.0,2.0,16.0,0.0,0.0,0.0,0.0,19.0
13,1,5,2024,1.0,3.0,2.0,9.0,0.0,0.0,0.0,0.0,17.0
14,1,5,2025,2.0,5.0,6.0,14.0,0.0,0.0,0.0,0.0,26.0
15,1,6,2023,2.0,6.0,4.0,12.0,0.0,0.0,0.0,0.0,19.0
16,1,6,2024,6.0,6.0,1.0,13.0,0.0,0.0,0.0,0.0,18.0
18,1,7,2023,2.0,3.0,2.0,7.0,0.0,0.0,0.0,0.0,12.0
19,1,7,2024,6.0,1.0,1.0,8.0,0.0,0.0,0.0,0.0,9.0
21,1,8,2023,3.0,6.0,2.0,12.0,0.0,0.0,0.0,0.0,20.0
22,1,8,2024,3.0,4.0,0.0,7.0,0.0,0.0,0.0,0.0,15.0
24,1,9,2023,3.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,11.0
25,1,9,2024,7.0,2.0,3.0,12.0,0.0,0.0,0.0,0.0,11.0
27,1,10,2023,9.0,4.0,1.0,15.0,0.0,0.0,0.0,0.0,23.0
28,1,10,2024,3.0,7.0,1.0,13.0,0.0,0.0,0.0,0.0,18.0
30,1,11,2023,6.0,3.0,0.0,10.0,0.0,0.0,1.0,1.0,18.0
31,1,11,2024,9.0,8.0,2.0,19.0,0.0,0.0,0.0,0.0,17.0
33,1,12,2023,7.0,4.0,2.0,13.0,0.0,0.0,0.0,0.0,18.0
34,1,12,2024,5.0,2.0,5.0,14.0,0.0,0.0,0.0,0.0,20.0
36,10,1,2023,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,8.0
37,10,1,2024,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,10.0
38,10,1,2025,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,10.0
39,10,2,2023,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0
40,10,2,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
41,10,2,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
42,10,3,2023,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,8.0
43,10,3,2024,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0
44,10,3,2025,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0
45,10,4,2023,6.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,9.0
46,10,4,2024,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0
47,10,4,2025,8.0,1.0,1.0,10.0,0.0,0.0,0.0,0.0,11.0
48,10,5,2023,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0
49,10,5,2024,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
50,10,5,2025,9.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0
51,10,6,2023,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0
52,10,6,2024,5.0,0.0,1.0,6.0,0.0,0.0,1.0,1.0,12.0
54,10,7,2023,5.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,14.0
55,10,7,2024,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,8.0
57,10,8,2023,4.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,6.0
58,10,8,2024,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0
60,10,9,2023,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,11.0
61,10,9,2024,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0
63,10,10,2023,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,11.0
64,10,10,2024,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0
66,10,11,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
67,10,11,2024,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0
69,10,12,2023,8.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0
